Elapsed time,192.168.46.11 Disks I/O unit=mb:readbytes:fs=/,192.168.46.12 Disks I/O unit=mb:readbytes:fs=/,192.168.46.13 Disks I/O unit=mb:readbytes:fs=/
08:45:51.0,,,0.0
08:45:52.0,0.0,,
08:45:53.0,0.0,0.0,0.0
08:45:54.0,0.0,0.0,0.0
08:45:55.0,0.0,0.0,0.0
08:45:56.0,0.0,0.0,0.0
08:45:57.0,0.0,0.0,0.0
08:45:58.0,0.0,0.0,0.0
08:45:59.0,0.0,0.0,0.0
08:46:00.0,0.0,0.0,0.0
08:46:01.0,0.0,0.0,0.0
08:46:02.0,0.0,0.0,0.0
08:46:03.0,0.0,0.0,0.0
08:46:04.0,0.0,0.0,0.0
08:46:05.0,0.0,0.0,0.0
08:46:06.0,0.0,0.003,0.0
08:46:07.0,0.0,0.0,0.0
08:46:08.0,0.0,0.0,0.0
08:46:09.0,0.0,0.0,0.0
08:46:10.0,0.0,0.0,0.0
08:46:11.0,0.0,0.0,0.0
08:46:12.0,0.0,0.0,0.0
08:46:13.0,0.0,0.0,0.0
08:46:14.0,0.0,0.0,0.0
08:46:15.0,0.0,0.0,0.0
08:46:16.0,0.0,0.0,0.0
08:46:17.0,0.0,0.0,0.0
08:46:18.0,0.0,0.0,0.0
08:46:19.0,0.0,0.0,0.0
08:46:20.0,0.0,0.0,0.0
08:46:21.0,0.0,0.0,0.0
08:46:22.0,0.0,0.0,0.0
08:46:23.0,0.0,0.0,0.0
08:46:24.0,0.0,0.0,0.0
08:46:25.0,0.0,0.0,0.0
08:46:26.0,0.0,0.0,0.0
08:46:27.0,0.0,0.0,0.0
08:46:28.0,0.0,0.0,0.0
08:46:29.0,0.0,0.0,0.0
08:46:30.0,0.0,0.0,0.0
08:46:31.0,0.0,0.0,0.0
08:46:32.0,0.0,0.0,0.0
08:46:33.0,0.0,0.003,0.0
08:46:34.0,0.0,0.0,0.0
08:46:35.0,0.0,0.0,0.0
08:46:36.0,0.0,0.0,0.0
08:46:37.0,0.0,0.0,0.0
08:46:38.0,0.0,0.0,0.0
08:46:39.0,0.0,0.0,0.0
08:46:40.0,0.0,0.0,0.0
08:46:41.0,0.0,0.0,0.0
08:46:42.0,0.0,0.0,0.0
08:46:43.0,0.0,0.0,0.0
08:46:44.0,0.0,0.0,0.0
08:46:45.0,0.0,0.0,0.0
08:46:46.0,0.0,0.0,0.0
08:46:47.0,0.0,0.0,0.0
08:46:48.0,0.0,0.0,0.0
